Posizione|Titolo|Autore
572.MON|LA RAZZA|MONTAGU,M.F.
921.MON|AUTOBIOGRAFIE DELLA LEGGERA-vagabondi, ex carcerati,ladri,prostitute raccontano la loro vita|MONTALDI, DANILO
853.MON|IL MONACO INGLESE|MONTALDI,VALERIA
853.MON|LA RIBELLE|MONTALDI,VALERIA
853.MON|LA PRIGIONIERA DEL SILENZIO|MONTALDI,VALERIA
851.MON|POESIE:LA BUFERA E ALTRO 1940-1954  SATURA 1962-1970|MONTALE,EUGENIO
NATI PER LEGGERE|UN CUCCIOLO ROSSO FUOCO|MONTANARI,EVA
RRN.MON|INSEGUENDO AIRISH|MONTANARI,PIEFFE
853.MON|IL TEMPO DELL'INNOCENZA|MONTANARI,RAUL
853.MON|LA PRIMA NOTTE|MONTANARI,RAUL
945.MON|L'ITALIA DEL MILLENNIO: sommario di dieci secoli di storia|MONTANELLI,INDRO
945.MON|MILANO VENTESIMO SECOLO|MONTANELLI,INDRO-CERVI,MARIO
853.MON|L'IDEA DI PERDERTI|MONTEFOSCHI,GIORGIO
843.MON|NEROPOLIS|MONTEILHET,HUBERT
RRN.MON|DI PROFESSIONE FANTASMA|MONTEILHET,HUBERT
RN.MON|GEORGE STEPHENSON|MONTEMAGNO,VITO
853.MON-R|CERCAMI NEL VENTO|MONTEMURRO,SILVIA
RN.MON|INCOMPRESO|MONTGOMERY,FLORENCE
RN.MON|ANNA DAI CAPELLI ROSSI-Ediz.integrale|MONTGOMERY,LUCY MAUD
RRN.MON|LA COLLINA AZZURRA|MONTICELLI,GABRIELLA
MRN.MON|IL LIBRO PRIGIONIERO|MONTICELLI,MIKI
MRN.MON|I SETTE CARDINI|MONTICELLI,MIKI
853.MON|IL FALSARIO DI PORTA PALAZZO-Un' indagine mortale|MONTICONE,ANDREA
853.MON|IL BOIA DI TORINO-L'anima nera di una città|MONTICONE,ANDREA
853.MON|NON RIATTACCARE-1|MONTRUCCHIO,ALESSANDRA
853.MON|FUOCO,VENTO,ALCOL|MONTRUCCHIO,ALESSANDRA
853.MON|ONDATE DI CALORE|MONTRUCCHIO,ALESSANDRA
853.MON|MACCHIE ROSSE|MONTRUCCHIO,ALESSANDRA
RRN.MOO|NON E' GIUSTO!|MOONEY,BEL
5RN.MOO|IL FOLLETTO DISTRATTO E LA BAMBINA CAPRICCIOSA|MOORE, LORRIE
MRN.MOO|LA PORTA DEL TEMPO -ULYSSES MOORE- VOL.I|MOORE, ULYSSES
MRN.MOO|LA CASA DEGLI SPECCHI -VOL.III|MOORE, ULYSSES
MRN.MOR|L'ISOLA DELLE MASCHERE -ULYSSES MOORE-VOL.IV|MOORE, ULYSSES
MRN.MOO|LA PRIMA CHIAVE-ULYSSES MOORE-VOL.VI|MOORE, ULYSSES
GRN.MOO|WATCHMEN-SOTTO LA MASCHERA|MOORE,ALAN-GIBBONS,DAVE
813.MOO|UN LAVORO SPORCO|MOORE,CHRISTOPHER
GRN.MOO|IL PASSATO DI AMBER HOUSE|MOORE,KELLY-REED,LARKIN E TUCKER
813.MOO|L'INVERNO CHE HELEN O'MARA SMISE DI SOGNARE|MOORE,LISA
973.MOO|STUPID WHITE MEN|MOORE,MICHAEL
MRN.MOO|IL LABIRINTO D'OMBRA-ULISSES MOORE-VOL.IXdoppione|MOORE,ULISSES
MRN.MOO|I PIRATI DEI MARI IMMAGINARI-ULISSES MOORE-VOL.|MOORE,ULISSES
MRN.MOO|LA BOTTEGA DELLE MAPPE DIMENTICATE -ULISSES MOORE -VOL.II|MOORE,ULYSSES
MRN.MOO|I GUARDIANI DI PIETRA -ULYSSES MOORE-VOL.V|MOORE,ULYSSES
MRN.MOO|LA CASA DEGLI SPECCHIdoppione|MOORE,ULYSSES
MRN.MOO|IL CLUB DEI VIAGGIATORI IMMAGINARI -ULYSSES MOORE-VOL.XII|MOORE,ULYSSES
MRN.MOO|IL GIARDINO DI CENERE-ULYSSES MOORE-VOL.XI|MOORE,ULYSSES
MRN.MOO|LA PORTA DEL TEMPO  VOL.Idoppione|MOORE,ULYSSES
MRN.MOO|IL PAESE DI GHIACCIO-ULYSSES MOORE-VOL.X|MOORE,ULYSSES (BACCALARIO,PIERDOMENICO)
RRRN.MOO|TUTTO SFORNATO|MOOST,NELE
RRRN.MOO|TUTTO PERMESSO?OVVERO FAR SEMPRE I BRAVI- E CHI MAI CI RIESCE?|MOOST,NELE
RRRN.MOO|SIAMO TUTTI CORAGGIOSI-E anche un po' fifoni|MOOST,NELE-RUDOLPH,ANNET
RRN.MOR|CHE GUAIO LA DIETAdoppione|MORA,ELENA
RRN.MOR|SETTIMANA BIANCA E BLU-SUPER AMICHE DEL CUORE-VOL.III|MORA,ELENA
RRN.MOR|CHE GUAIO LA DIETA-SUPER AMICHE DEL CUORE-VOL. I|MORA,ELENA
RRN.MOR|CHE FARE DA GRANDE?-SUPER AMICHE DEL CUORE-VOL. IV|MORA,ELENA
RRN.MOR|VIGILIA DI FESTA-SUPER AMICHE DEL CUORE-VOL II|MORA,ELENA
RRN.MOR|S.O.S. ARRIVANO GLI ESAMI !-SUPER AMICHE DEL CUORE-VOL.VI|MORA,ELENA
921.MOR|DIARIO DI UN RAGAZZO ITALIANO|MORANDI,GIANNI-FERRARI,MICHELE
853.MOR|LA STORIA|MORANTE, ELSA
853.MOR|ARACOELI|MORANTE,ELSA
RRN.MOR|LE STRAORDINARIE AVVENTURE DI CATERINA|MORANTE,ELSA
GRN.MOR|L'ISOLA DI ARTURO|MORANTE,ELSA
853.MOR|IL CONFORMISTA-2|MORAVIA, ALBERTO
853.MOR|LA ROMANA|MORAVIA, ALBERTO
853.MOR|IO E LUI-2|MORAVIA,ALBERTO
853.MOR|GLI INDIFFERENTI-2|MORAVIA,ALBERTO
853.MOR|RACCONTI ROMANI|MORAVIA,ALBERTO
853.MOR|AGOSTINO-2|MORAVIA,ALBERTO
853.MOR|LA CIOCIARA|MORAVIA,ALBERTO
853.MOR|L'UOMO CHE GUARDAdoppione|MORAVIA,ALBERTO
853.MOR|L'UOMO CHE GUARDA-2|MORAVIA,ALBERTO
853.MOR|I DUE AMICI|MORAVIA,ALBERTO
853.MOR|LA VITA INTERIORE-2|MORAVIA,ALBERTO
853.MOR|L'ATTENZIONE-2|MORAVIA,ALBERTO
853.MOR|LA CIOCIARA|MORAVIA,ALBERTO
853.MOR|GLI INDIFFERENTI|MORAVIA,ALBERTO
853.MOR|GLI INDIFFERENTIdoppione|MORAVIA,ALBERTO
RRN.MOR|LE NOVE VITE DEL GATTO MENELAO|MORAY, WILLIAMS URSULA
853.MOR|HANNO AMMAZZATO LA MARININ|MORBELLI,NADIA
945.MOR|DALLA PARTE GIUSTA|MORBELLO CORE, ENRICA
MRN.MOR|LOVE STORY|MORDILLO
914.MOR|PROVENCE|MOREAUX.,R
853.MOR|UN BRAVO RAGAZZO-Storia di un giovane prestigiatore,erotomane.dislessico e disadattato|MORELLI,GIAMPAOLO
150.MOR|AMA E NON PENSARE|MORELLI,RAFFAELE
158.MOR|CIASCUNO E' PERFETTO- L'ARTE DI STAR BENE CON SE STESSI|MORELLI,RAFFAELE
853.MOR|LO PSICHIATRA E L'ALCHIMISTA|MORELLI,RAFFAELE
155.MOR|I FIGLI FELICI|MORELLI,RAFFAELE
158.MOR|COME ESSERE FELICI|MORELLI,RAFFAELE
158.MOR|NON SIAMO NATI PER SOFFRIRE|MORELLI,RAFFAELE
158.MOR|LE PAROLE CHE CURANO|MORELLI,RAFFAELE
152.MOR|COME AMARE ED ESSERE AMATI|MORELLI,RAFFAELE
982.MOR|L'ARGENTINA NON VUOLE PIU' PIANGERE-Da Perón a Kirchner: gli anni della dittatura, la crisi economica, i                                                                         segni del cambiamento di un paese inquieto|MORETTI,ITALO
823.MOR|CAMERA CON VISTA|MORGAN FORSTER,EDWARD
813.MOR|…E VENNE CHIAMATA DUE CUORIdoppione|MORGAN,MARLO
853.MOR|…E VENNE CHIAMATA DUE CUORI|MORGAN,MARLO
GRN.MOR|PRIMO AMORE ULTIMO AMORE|MORGENSTERN
5RN.MOR|PRIMA MEDIA!|MORGENSTERN,SUSIE
MRN.MOR|PRIMA MEDIA!|MORGENSTERN,SUSIE
823.MOR|IN CERCA DI ALICE|MORIARTY,LIANE
823.MOR-R|BABY-A-PORTER|MORIARTY,SINEAD
863.MOR|LA CITTA' SENZA TEMPO|MORIEL,ENRIQUE
843.MOR|ISTRUZIONI PER CINQUANTENNI IN CERCA D'AMORE ( e altre questioni fondamentali)|MORIN,PASCAL
RN.MOR|LA VITA AI TEMPI DI RAMSES|MORLEY,JACQUELINE
309.MOR|ERODE FRA NOI|MORO
190.MOR|UTOPIA|MORO,TOMMASO
MRN.MOR|LA GUARDIA DELLA MEZZALUNA|MOROSINOTTO,DAVIDE
853.MOR|LO SPECCHIO NERO|MOROZZI,GIANLUCA
RRN.MOR|IL FANTASMA TUTTO PEPE|MORPURGO
853.MOR|SONO PAZZA DI TE (MA FINO A UN CERTO PUNTO)-2|MORPURGO,MARINA
MRN.MOR|LA GUERRA DEL SOLDATO PACE|MORPURGO,MICHAEL
RRN.MOR|IL SEGRETO DELLA FELICITA'|MORPURGO,MICHAEL
813.MOR|IL GIOCO DEL TEMPO|MORRELL,DAVID
813.MOR|PARAGON HOTEL-2|MORRELL,DAVID
RN.MOR| IL BOTTINO DEI DALTON-LUKY LUKE.|MORRIS
RN.MOR| IL FILO CHE CANTA-LUKY LUKE.|MORRIS
572.MOR|LA SCIMMIA NUDA|MORRIS, DESMOND
823.MOR|LA FANTASTICA STORIA DELL'OTTANTUNENNE INVESTITO DAL CAMIONCINO DEL LATTE|MORRISON,J.B.
813.MOR|PARADISO|MORRISON,TONI
813.MOR|A CASA|MORRISON,TONI
853.MOR|DIVERTIMENTO 1889|MORSELLI
MRN.MOR|TRE TAZZE DI TE|MORTENSON,GREG-RELIN,DAVID OLIVER
922.MOR|DIANA -LA SUA VERA STORIA|MORTON,ANDREW
823.MOR|UNA LONTANA FOLLIA|MORTON,KATE
RRRN.MOR|CICCIO IL RICCIO|MORTON,KEN
823.MOS|50/50 KILLER|MOSBY,STEVE
853.MOS|RICORDI DI SCUOLA|MOSCA, GIOVANNI
853.MOS|IL NUOVO GALATEO|MOSCA, GIOVANNI
853.MOS|IL PROFANATORE DI BIBLIOTECHE PROIBITE|MOSCA,DAVIDE
853.MOS|IL SALE DELLA VITA|MOSCA,PAOLO
853.MOS|IL NUOVO SENSO DELLA VITA|MOSCA,PAOLO
282.MOS|LETTERA AL PAPA-scri9tta con riconoscenza e amore|MOSCA,PAOLO
5RN.MOS|PHILIPPE GRATIN E IL SULTANO INNAMORATO-VOL.5|MOSCA,RENZO
5RN.MOS|PHILIPPE GRATIN E IL CODICE DI LEONARDO-VOL.7|MOSCA,RENZO
853.MOS|LA VITA NON E' UN FILM (ma a volte ci somiglia)|MOSCARDELLI,CHIARA
853.MOS|VOLEVO SOLO ANDARE A LETTO PRESTO|MOSCARDELLI,CHIARA
904.MOS|SEGRETI DEL PASSATO-: alla scoperta del mondo sepolto|MOSCATI, SABATINO
RRN.MOS|CARA PACE!|MOSCHINI,MARCO
853.MOS|LE NOCI E IL FIORDALISO|MOSCIA, SAVINO
243.MOS|PARABOLE DEL DUEMILA-Per un cammino giubilare sui sentieri della speranza|MOSCONE,FELICE
RRN.MOS|LA BARCA DEI SOGNI-storie della buonanotte|MOSER,ERWIN
5RN.MOS|UN TAXI A MANHATTAN|MOSHER,RICHARD
823.MOS|L'OTTAVO ARCANO|MOSSE,KATE
823.MOS|I CODICI DEL LABIRINTO-2|MOSSE,KATE
800.MOS|DONNE DI CUORI E DONNE DI BASTONI NEL DRAMMA STORICO DELL'AFRICA NERA FRANCOFONA|MOSSETTO,ANNA PAOLA
823.MOU|LA BAMBINA CHE AMAVA LA MORTE|MOUNTAIN,FIONA
843.MOU|LA PRINCIPESSA RIBELLE-la lotta appassionata e coraggiosa di una donna nell'India dell'Ottocento|MOURAD,KENIZE'
863.MOY|LA MAESTRA|MOYA,ELENA
823.MOY|IO PRIMA DI TE|MOYES,JOJO
823.MOY|UN WEEKEND DA SOGNO|MOYES,JOJO
823.MOY-R|UNA PIU' UNO|MOYES,JOJO
823.MOY|INNAMORARSI IN UN GIORNO DI PIOGGIA|MOYES,JOJO
823.MOY|UNA CORSA NEL VENTO|MOYES,JOJO
823.MOY|TREDICI GIORNI CON JOHN C. e altri racconti|MOYES,JOJO
853.MOZ|SONO L'ULTIMO A SCENDERE|MOZZI,GIULIO
853.MOZ|QUELL'ANTICO AMORE-1|MOZZILLO, GIOVANNA
891.MRO|L'ELEFANTE|MROZEK, SLAWOMIR
GRN.MUC|PARLAMI D'AMORE|MUCCINO,SILVIO-VANGELISTA,CARLA
851.MUC|E SE TORNASSE……..Archiviato|MUCCIOLI, NINO
362.MUC|LA MIA BATTAGLIA CONTRO LA DROGA, L'EMARGINAZIONE E L'EGOISMO|MUCCIOLI, VINCENZO
RRN.MUE|UN PIANO IMBATTIBILE-QUATTRO SORELLE SCATENATE-VOL.II|MUEWLLER,DAGMAR H.
922.MUH|VENDUTE!-L'odissea di due sorelle|MUHSEN, ZANA
863.MUJ|LO SCARABEO DI NEFERTARI|MUJICA LAINEZ, MANUEL
5RN.MUL|NATI LIBERI-SPIRIT ANIMALS-VOL.I|MULL,BRANDON
RRRN.MUL|LA STORIA DI CHIARO DI LUNA|MULLER
923.MUL|ANNE FRANK|MULLER,MELISSA
NATI PER LEGGERE|NELLA NOTTE BUIA|MUNARI,BRUNO
863.MUN|L'INVERNO A LISBONA-1|MUNOZ MOLINA,ANTONIO
823.MUN|NEMICO,AMICO,AMANTE…|MUNRO,ALICE
813.MUN|IN FUGA|MUNRO,ALICE
813.MUN|DANZA DELLE OMBRE FELICI|MUNRO,ALICE
813.MUN|RACCONTI|MUNRO,ALICE
833.MUN|LA STORIA DI SAN MICHELE-4|MUNTHE,AXEL
GRN.MUR|OH,BOY!|MURAIL,MARIE-AUDE
895.MUR|NORWEGIAN WOOD|MURAKAMI,HARUKI
895.MUR|AFTER DARK|MURAKAMI,HARUKI
082.MUR|AFTER DARK|MURAKAMI,HARUKI
619.MUR|IL MEDICO DI SE' STESSO:MANUALE PRATICO DI MEDICINA ORIENTALE|MURAMOTO, NABORU
853.MUR|ANIMALI DOMESTICI|MURATORI,LETIZIA
RRRN.MUR|PAROLA DI BIMBO|MURDOCCA,SILVIA-VOTTERO ROBERTA
853.MUR|L'INCONTRO|MURGIA,MICHELA
853.MUR|ACCABADORA|MURGIA,MICHELA
261.MUR|AVE MARY|MURGIA,MICHELA
853.MUR|CHIRU'|MURGIA,MICHELA
GRN.MUR|VOGLIO UNA VITA A FORMA DI ME|MURPHY,JUKIE
MRN.MUR|GIU' LE MANI DALLA MIA VITA ovvero come salvarsi dai progetti di mamma e papa'|MURPHY,MARTINA
823.MUR|JOHN IL VISIONARIO|MURPHY,PETER
MRN.MUR|LA RAGAZZA CHE TOCCO' LE NUVOLE|MURPHY,RITA
610.MUR|IL LINGUAGGIO PRIMA DELLE PAROLE-Come comunicare con i neonati|MURRAY,LYNNE-ANDREWS,LIZ
858.MUS|IL PRONIPOTE DI GIULIO CESARE|MUSATTI,CESARE L.
RRN.MUS|JULIET E L'ALBERO DEI PENSIERI|MUSGROVE,MARIANNE
833.MUS|L'UOMO SENZA QUALITA'- VOL 1-4|MUSIL, ROBERT
833.MUS|L'UOMO SENZA QUALITA'- VOL 2-4|MUSIL, ROBERT
833.MUS|TRE DONNE|MUSIL,ROBERT
833.MUS|IL GIOVANE TORLESS-1|MUSIL,ROBERT
843.MUS-R|LA DONNA CHE NON POTEVA ESSERE QUI|MUSSO, GUILLAUME
843.MUS|L'UOMO CHE CREDEVA DI NON AVERE PIU' TEMPO|MUSSO,GUILLAUME
843.MUS-R|CHI AMA TORNA SEMPRE INDIETRO|MUSSO,GUILLAUME
843.MUS-R|QUANDO SI AMA NON SCENDE MAI LA NOTTE|MUSSO,GUILLAUME
843.MUS-R|IL RICHIAMO DELL'ANGELO|MUSSO,GUILLAUME
843.MUS|CENTRAL PARK|MUSSO,GUILLAUME
RRRN.MUT|LA VERA STORIA DEL PIFFERAIO DI HAMELIN|MUTIS,ALVARO
813.MYR|IO E DEWEY- La storia del gatto di biblioteca che ha commosso il mondo|MYRON,VICKI
813.NAB|LOLITA|NABOKOV,VLADIMIR
NATI PER LEGGERE|CINQUE PICCOLE DITA|NADJA
924.NAF|LE COSE CHE NON HO DETTO|NAFISI,AZAR
813.NAH|L'INCANTO DEL PAVONE|NAHAI,GINA BARKHORDAR
001.NAH|PAROLA DI FATA-Come entrare nel mondo delle fate e farsele amiche|NAHMAD,CLAIRE
823.NAI|IN UNO STATO LIBERO|NAIPUL,V.S.
823.NAI|CUCCETTE PER SIGNORA|NAIR,ANITA
MRN.NAN|ROSAROSEROSE|NANETTI,ANGELA
5RN.NAN|L'UOMO CHE COLTIVAVA LE COMETE|NANETTI,ANGELA
5RN NAN|P COME PRIMA (MEDIA) G COME GIORGINA(POZZI)|NANETTI,ANGELA
RRN.NAN|VERONICA ovvero «i gatti sono talmente imprevedibili!»|NANETTI,ANGELA
RRN.NAN|ADAMO E ABELIA|NANETTI,ANGELA
RRN.NAN|L'UOMO CHE COLTIVAVA LE COMETE|NANETTI,ANGELA
RRN.NAN|QUANDO C'ERANO I DINOSAURI|NANNINI, DANIELE
RRRN.NAN|PICCOLO GRANDE DINO IN FUGA DALLO ZOO|NANNINI,DANIELE
802.NAR|IL ROMANZO POLIZIESCO|NARCEJAC, THOMAS
853.NAR|NOTTI DI GUARDIA|NARETTO,GIUSEPPE
892.NAS|VERGOGNA (LAJJA): il romanzo-denuncia dell'intolleranza religiosa|NASGREEN,TASLIMA
843.NAS|TI HO AMATA PER LA TUA VOCE|NASSIB,SELIM
915.NAT|L'UOMO CHE PARLAVA CON I CORVI: dieci incontri sulle strade dell'Asia|NATALE,BENIAMINO
362.NAT|IL REGNO DI OP|NATALICCHIO,PAOLA
813.NAT|L'ULTIMO ALCHIMISTA|NATHAN,MICAH
945.NAT|L'ALTRA RESISTENZA|NATTA
843.NAU|I LEONI D'ARGOUGES-1|NAUDIN,PIERRE
NATI PER LEGGERE|CHE MERAVIGLIA!|NAVA,EMANUELA
5RN.NAV|IL SERPEGATTO-Il demone dell'amore|NAVA,EMANUELA
863.NAV|LA BIBBIA D'ARGILLA|NAVARRO,JULIA
863.NAV|DIMMI CHI SONO|NAVARRO,JULIA
863.NAV|IL SANGUE DEGLI INNOCENTI|NAVARRO,JULIA
863.NAV|LA FRATELLANZA DELLA SACRA SINDONE|NAVARRO,JULIA
RRRN.NAY|I MAMMIFERI- NEL PALMO DELLA TUA MANO|NAYER,JUDY
813.NAY|TUTTO IL MARE TRA NOI|NAYERI,DINA
MRN.NAY|QUASI ALICE|NAYLOR,PHYLLIS REYNOLDS
843.NDI|TRE DONNE FORTI|NDIAYE,MARIE
853.NEB|UCCIDERO' CRISTOFORO COLOMBO|NEBIOLO,GINO
863,NEG|L'AMANTE DELL'IMPERATORE-LA REGINA DEL NILO-VOL.II|NEGRETE,JAVIER
863.NEG|IL ROGO DELLE PIRAMIDI-LA REGINA DEL NILO-VOL.III|NEGRETE,JAVIER
851.NEG|"NEL BUIO OLTRE IL PORTALE- ( premio speciale della giuria ""la mole"" 2010 (per l'inedito)"|NEGRI BUTTIGLIONE,ADA
RRRN.NEG|FAVOLE AL TELEFONINO|NEGRIN,FABIAN
MRN.NEI|LA NUVOLA VERDE|NEILL,ALEXANDER S
RN.NEL|THE STORY OF THE FIRST EASTER|NELSON
813.NEL|IL PIRATA-La prima avventura di Thomas Marlowe,pirata e gentiluomo d'America|NELSON,JAMES L.
260.NEM|BEATO ZOLTAN LAJOS-Un vescovo martire «senza nome»|NEMETH,
260.NEM|BEATO VILMOS APOR-Vescovo e martire nella tragedia del XX secolo|NEMETH,LASZLO IMRE
843.NEDM|DAVID GOLDER-1|NEMIROVSKY,IRENE
843.NEM|IL CALORE DEL SANGUE|NEMIROVSKY,IRENE
843.NEM|COME LE MOSCHE D'AUTUNNO-1|NEMIROVSKY,IRENE
843.NEM|SUITE FRANCESE-1|NEMIROVSKY,IRENE
843.NEM|IL MALINTESO-1|NEMIROVSKY,IRENE
843.NEM|DUE|NEMIROVSKY,IRENE
843.NEM|I FALO' DELL'AUTUNNO|NEMIROVSKY,IRENE
709.NER|MICHELANGELO|NERET,GILLES
927.NER|PER NASCERE SON NATO|NERUDA ,PABLO
898.NER|POESIE|NERUDA,PABLO
861.NER|I VERSI DEL CAPITANO- CON TESTO A FRONTE-2|NERUDA,PABLO
843.NER-R|JULIE|NERY,GERARD
843.NER-R|GLI AMANTI DI PALERMO|NERY,GERARD
839.NES|NEMESIdoppione|NESBO,JO
839.NES|L'UOMO DI NEVE|NESBO,JO
839.NES|LO SPETTRO|NESBO,JO
839.NES|NEMESI|NESBO,JO
839.NES|LA STELLA DEL DIAVOLO|NESBO,JO
839.NES|LA RAGAZZA SENZA VOLTO|NESBO,JO
839.NES|IL LEOPARDO|NESBO,JO
RRN.NES|IL DOTTOR PROTTOR E IL GRANDE FURTO D'ORO|NESBO,JO
839.NES|IL PIPISTRELLO|NESBO,JO
839.NES|IL CONFESSORE|NESBO,JO
839.NES|SCARAFAGGI|NESBO,JO
839.NES|SOLE DI MEZZANOTTE|NESBO,JO
839.NES|SANGUE E NEVE|NESBO,JO
853.NES|L'ETA' DELL'ORO|NESI, EDOARDO
853.NES|L'ETA' DELL'OROdoppione|NESI,EDOARDO
306.NES|STORIA DELLA MIA GENTE: la rabbia e l'amore della mia vita da industriale di provincia|NESI,EDOARDO
853.NES|L'ESTATE INFINITA|NESI,EDOARDO
813.NES|"LA VERA STORIA DI THE UNTOUCHABLES -"" GLI INTOCCABILI""-3"|NESS,ELIOT
839.NES|UNA DONNA SEGNATA|NESSER,HAKAN
839.NES|IL COMMISSARIO E IL SILENZIO|NESSER,HAKAN
839.NES|CARAMBOLE|NESSER,HAKAN
839.NES|L'UOMO SENZA UN CANE-Un'indagine dell'ispettore Barbotti|NESSER,HAKAN
839.NES|CONFESSIONE DI UNA SQUARTATRICE|NESSER,HAKAN
839.NES|LA RONDINE,IL GATTO,LA ROSA,LA MORTE|NESSER,HAKAN
839.NES|L'UOMO CHE ODIAVA I MARTEDI'|NESSER,HAKAN
853.NES|VIAGGIO DI RITORNO-1|NESTI, CARLO
573.NES|L'ORIGINE DELL'UOMO|NESTURK, MIKAIL
RRRN.NEU|IL VERO VINCITORE|NEUGEBAUER,CHARISE-NASCIMBENI,BARBARA
973.NEV|STORIA DEGLI STATI UNITI|NEVINS ALLAN - COMMAGER H.S.
813.NGU|IL SIMPATIZZANTE|NGUYEN,VIET THANH
MRN.NIC|LA MAFIA-Spiegata ai ragazzi|NICASO,ANTONIO
823.NIC|NOI|NICHOLLS,DAVID
813.NIC|UN VESTITO COLOR DEL VENTO|NICHOLLS,SOPHIE
160.NIC|IL LIBRO DELLE CANDELE|NICOL,GLORIA
RRN.NIC|IL TEATRO DELLA GRANDE FORESTA|NICOLAS,GERARD
RRN.NIC|IL TEATRO DELLA GRANDE FORESTAdoppione|NICOLAS,GERARD
260.NIC|SAN GIUSEPPE DA LEONESSA|NICOLI,LUIGI
914.NIC|I CASTELLI DEL PIEMONTE- VOL. I|NICOLINI, TONI- FORNO, TULLIO
914.NIC|I CASTELLI DEL PIEMONTE -VOL.II|NICOLINI, TONI- FORNO, TULLIO
921.NIC|PAOLO VI -PAPA DELL'UMANITA'|NICOLINI,GIULIO
921.NIC|TRENTATRE' GIORNI : UN PONTIFICATO|NICOLINI,GIULIO
RN.NID|STEFI- ...CI SI RIVEDE,EH!|NIDASIO,GRAZIA
5RN.NIE|IL COLLEGIO DEI VAMPIRETTI L'ESAME|NIEBISCH,JACKIE
838.NIE|IL CASO WAGNER-CREPUSCOLO DEGLI IDOLI-L'ANTICRISTO-ECCE HOMO-NIETZSCHE CONTRA WAGNER|NIETZSCHE,FRIEDRICH
921.NIE|IL PRATO IN FONDO AL MARE|NIEVO, STANISLAO
853.NIF|LA VEDOVA SCALZA|NIFFOI,SALVATORE
853.NIF|RITORNO A BARAULE-1|NIFFOI,SALVATORE
858.NIG|CANTI POPOLARI DEL PIEMONTE.VO. I|NIGRA, COSTANTINO
858.NIG|CANTI POPOLARI DEL PIEMONTE-VOL.II|NIGRA, COSTANTINO
927.NIK|KARL MARX- La vita e l'opera|NIKOLAEVSKIJ,B.
RRRN.NIL|SHAPES|NILSEN,ANNA
924.NIN|HENRY & JUNE|NIN,ANAIS
924.NIN|INCESTO|NIN,ANAIS
MRG.NIR|DIARIO DI YEHUDA|NIR, YEHUDA
921.NIS|L'UOMO CHE FERMO' HITLER-la storia di Dimitar Pesev che salvo gli ebrei di una nazione intera|NISSIM,GABRIELE
813.NIV|RACCONTAMI DI UN GIORNO PERFETTO|NIVEN,JENNIFER
813.NOA|LO SCIAMANO|NOAH,GORDON
RRRN.NOC|BIANCANEVE E I SETTE NANI|NOCENTINI,CHIARA
GRN.NOE|EVERMORE|NOEL,ALYSON
GRN.NOL|ZAGOR-ODISSEA AMERICANA|NOLITTA,GUIDO-FERRI,GALLIENO
839.NOO|LA FEBBRE|NOORT,SASKIA
RRRN.NOR|IL FANTASMA CON I TIC NERVOSI|NORAC,CARL
RRRN.NOR|BRIGITTA LA STREGA|NORAC-SACRE'
MRN.NOR|LUCKY LUKE-IL PROFETA|NORDMANN,PATRICK
921.NOR|PRIMI SULL'EVEREST-29 maggio 1953: lo sherpa Tenzing Norgay ed Edmund Hillary compiono la piu' grande                                       impresa alpinistica di tutti i tempi|NORGAY, TENZING
823.NOR|L'AMICIZIA, IL SANGUE, L'AMORE-1|NORMAN,HILARY
813.NOR|12 YEARS A SLAVE ( 12 ANNI SCHIAVO)|NORTHUP,SOLOMON
RN.NOR|POMI D'OTTONE E MANICI DI SCOPA|NORTON,MARY
158.NOR|GUARIRE COI PERCHE'|NORWOOD,ROBIN
RRRN.NOS|L'ALFABETO DEGLI ANIMALI|NOSOTTI, STEFANIA
RRN.NOS|CARA SUSI, CARO PAUL|NOSTLINGER
RRRN.NOS|WILLI E LA PAURA|NOSTLINGER, CHRISTINE
RRN.NOS|MINI VA A SCUOLA|NOSTLINGER, CHRISTINE
5RN.NOS|IL BAMBINO SOTTOVUOTO|NOSTLINGER,CHRISITINE
RRN.NOS|ZAC-TV|NOSTLINGER,CHRISTINE
MRN.NOS|ANCH'IO HO UN PAPA'|NOSTLINGER,CHRISTINE
RRN.NOS|DIARIO SEGRETO DI SUSI-DIARIO SEGRETO DI PAUL|NOSTLINGER,CHRISTINE
RRRN.NOS|ANNA E' FURIOSA|NOSTLINGER,CHRISTINE
RRRN.NOS|GUARDA CHE VIENE L'UOMO NERO|NOSTLINGER,CHRISTINE
MRN NOS|FURTO A SCUOLA|NOSTLINGER,CHRISTINE
GRN.NOT|E' IL GIORNO DEL GIUDIZIO E NON HO NIENTE DA METTERMI|NOTARO,LAURIE
843.NOT|SABOTAGGIO D'AMORE-3|NOTHOMB,AMELIE
813.NOV|IL SILENZIO DELL'ACQUA-1|NOVAK,BRENDA
RRN.NOV|ALLA RICERCA DELLA CODA PERDUTA|NOVELLI,LUCA
RRN.NOV|ARCHIMEDE E LE SUE MACCHINE DA GUERRA|NOVELLI,LUCA
RRN.NOV|DARWIN E LA VERA STORIA DEI DINOSAURI|NOVELLI,LUCA
RRN.NOV|LAVOISIER E IL MISTERO DEL QUINTO ELEMENTO|NOVELLI,LUCA
RRN.NOV|IPPOCRATE MEDICO IN PRIMA LINEA|NOVELLI,LUCA
RRN.MOV|EINSTEIN E LE MACCHINE DEL TEMPO|NOVELLI,LUCA
